IP,Web,MH_SH,EH_SH,WH_SH,ACAO_SH,EH_H,MH_H,FH_H,IH_H,Security Report SH
115.68.168.169,"	https://www.torrent.tvonair.kr/bbs/board.php?bo_table=free&wr_id=79530",6,0,0,1,4,12,2,6,F
115.146.123.152,https://baonamdinh.vn/tin-tuc-su-kien/202212/von-dau-tu-thuc-hien-tu-nguon-ngan-sach-nha-nuoc-tang-gan-20-a5a1802/,2,4,0,0,5,9,1,3,B
13.248.243.5,"	https://packagedwastewaterplants.com/",3,3,0,0,5,9,3,4,B
164.100.167.34,https://lnxstgweb.tn.gov.in/nursec/nursecounsil-audit/,0,6,0,0,5,9,3,4,A+
170.84.170.157,https://turismo.lapampa.gob.ar:443/,3,3,2,0,0,14,0,0,C
104.26.12.156,https://app.artia.com/health_check/all,0,6,0,0,10,4,3,11,A
77.73.151.235,https://www.smartemergencylighting.com/,1,5,1,0,8,7,2,7,A
93.113.111.245,https://www.latymer-upper.org/,0,6,0,0,7,7,3,4,A+
13.107.246.52,https://beta.iem365.com/,0,6,0,0,11,3,1,2,A+
104.21.7.163,https://www.digwow.net/post/9170253846/12488/12488-009.pdf/mindex/@00000.000000.00000000.,6,0,0,0,3,11,3,4,F
141.164.49.92,https://test1.tlogsir.com/bbs/board.php?bo_table=free&wr_id=68133,6,0,0,0,3,12,1,6,F
164.100.167.34,https://lnxstgweb.tn.gov.in/nursec/nursecounsil-audit/,0,6,0,0,9,6,1,5,A+
172.67.69.165,https://app.artia.com/health_check/all,0,6,2,0,10,4,3,11,A
13.107.246.52,"	https://staging-www.odgersberndtson.com/en-ie/",1,5,0,0,9,7,2,7,A
20.55.92.222,https://adocday.com/identity/account/login?returnurl=%2f,1,5,4,0,8,7,1,12,A
87.246.114.147,https://my.prelude.software/invoicer/index.pl,0,6,1,0,7,6,1,10,A
52.127.34.96,https://lacdmhowr.powerappsportals.us/forums/support-forum/a811eed7-daac-ef11-b542-001dd8097a1a,4,2,0,0,5,10,2,4,D
208.91.197.39,http://acadia-techs.com/__media__/js/netsoltrademark.php?d=www.syracuse-computer-repairs.com - (Scan again over https),4,2,2,0,3,11,1,3,D
104.26.13.156,https://stage2.artia.com/health_check/all,0,6,1,0,8,6,7,6,A
104.21.47.219,https://www.dixtineta.shop/product-sitemap3.xml,6,0,1,0,4,11,3,7,F
162.159.135.42,https://stg-winningsoftware-staging.kinsta.cloud/r2343242,1,5,1,0,7,6,9,4,A
"	104.21.81.148",https://forecastspo.com/____-__-______-__-__/,4,1,1,0,4,10,6,4,D
141.164.56.184,https://turtlebooup.com/,6,0,0,0,2,12,1,3,F
162.159.138.60,https://vimeo.com/user231044933,0,3,0,0,1,13,1,1,C
8.134.61.107,http://8.134.61.107:3000/maurinebottoms,4,1,1,0,4,11,0,2,E
